Key,ConceptId,Category,CanonicalTermRU,ContextOrScreen,TriggerCondition,ForbiddenVariants,SourceTermIds,TaxonomyCategory,StyleGuideRefs,Notes
CONCEPT_POINTS_CURRENCY,CONCEPT_POINTS_CURRENCY,ResourceName,💰,"screens=battle_ui|chat_ui|cooldowns|disabled_states|dm_ui|economy_toasts|escape|events_voting_crowd|general_interface|p2p|pending_states|price_caps|reports_cop_flow|respect_econ08|result_cards|success_fail_states|training_econ04; topSourceFiles=AsyncScene/Web/ui-old.js(20), AsyncScene/Web/ui/ui-dm.js(14), docs/ui/ui-dm.js(14), AsyncScene/Web/state.js(12), docs/state.js(12); topSourceKeys=if(26), pushSystem(10), msg(8), reason(8), прокает(8)","inventoryTriggers=static_string(149), dynamic_template(59), forbidden_placeholder_dynamic_template(1); taxonomyInstances=161; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",пойнты|пойнтов|Points|P|сверхпойнты,ST3_0020|ST3_0023|ST3_0024|ST3_0026|ST3_0031|ST3_0102|ST3_0103|ST3_0105|ST3_0106|ST3_0113|ST3_0138|ST3_0156|ST3_0185|ST3_0186|ST3_0187|ST3_0308|ST3_0309|ST3_0717|ST3_0730|ST3_0737|ST3_0749|ST3_0750|ST3_0763|ST3_0765|ST3_0766|ST3_0767|ST3_0800|ST3_0801|ST3_0802|ST3_0803|ST3_0804|ST3_0805|ST3_0806|ST3_0807|ST3_0940|ST3_0954|ST3_0958|ST3_1041|ST3_1051|ST3_1081|ST3_1096|ST3_1162|ST3_1165|ST3_1166|ST3_1181|ST3_1243|ST3_1247|ST3_1248|ST3_1261|ST3_1262|ST3_1263|ST3_1264|ST3_1266|ST3_1267|ST3_1268|ST3_1269|ST3_1287|ST3_1308|ST3_1309|ST3_1310|ST3_1313|ST3_1314|ST3_1316|ST3_1317|ST3_1318|ST3_1319|ST3_1326|ST3_1335|ST3_1336|ST3_1337|ST3_1352|ST3_1357|ST3_1366|ST3_1370|ST3_1372|ST3_1388|ST3_1412|ST3_1416|ST3_1417|ST3_1422|ST3_1436|ST3_1481|ST3_1482|ST3_1498|ST3_1539|ST3_1541|ST3_1591|ST3_1596|ST3_1602|ST3_1605|ST3_1609|ST3_1611|ST3_1613|ST3_1617|ST3_1657|ST3_1658|ST3_1659|ST3_1662|ST3_1663|ST3_1665|ST3_1666|ST3_1667|ST3_1668|ST3_1703|ST3_1706|ST3_1707|ST3_1708|ST3_1709|ST3_1710|ST3_1719|ST3_1729|ST3_1730|ST3_1756|ST3_1760|ST3_1761|ST3_1843|ST3_1844|ST3_1846|ST3_1847|ST3_1854|ST3_1879|ST3_1897|ST3_1926|ST3_1927|ST3_1928|ST3_2049|ST3_2050|ST3_2458|ST3_2471|ST3_2478|ST3_2490|ST3_2491|ST3_2504|ST3_2777|ST3_2778|ST3_2779|ST3_2780|ST3_2793|ST3_2816|ST3_2830|ST3_2831|ST3_2832|ST3_2865|ST3_2866|ST3_2867|ST3_2868|ST3_2869|ST3_2870|ST3_2871|ST3_2872|ST3_2896|ST3_2906|ST3_2936|ST3_2951|ST3_3017|ST3_3020|ST3_3021|ST3_3036|ST3_3098|ST3_3102|ST3_3103|ST3_3116|ST3_3117|ST3_3118|ST3_3119|ST3_3121|ST3_3122|ST3_3123|ST3_3124|ST3_3150|ST3_3154|ST3_3155|ST3_3160|ST3_3173|ST3_3218|ST3_3219|ST3_3235|ST3_3276|ST3_3278|ST3_3328|ST3_3333|ST3_3339|ST3_3342|ST3_3346|ST3_3348|ST3_3350|ST3_3354|ST3_3390|ST3_3391|ST3_3392|ST3_3395|ST3_3396|ST3_3398|ST3_3399|ST3_3400|ST3_3401|ST3_3436|ST3_3439|ST3_3440|ST3_3441|ST3_3442|ST3_3443|ST3_3452|ST3_3462|ST3_3463|ST3_3489|ST3_3493|ST3_3494|RUNTIME_RESULT_CARD_NUMERIC_SUMMARY,ResourceName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=209; taxonomyInstanceCount=161; inventoryCategories=ResourceName(142), Error(30), Button(19), Other(9), BlockTitle(4), EconomyReason(4), Toast(1); canonNotes=Player spendable currency appears as emoji, Russian word, English Points and P shorthand. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_REPUTATION,CONCEPT_REPUTATION,ResourceName,⭐,"screens=battle_ui|dm_ui|economy_toasts|events_voting_crowd|general_interface|price_caps|respect_econ08; topSourceFiles=AsyncScene/Web/state.js(8), docs/state.js(8), docs/data/style-lex.js(4), AsyncScene/Web/ui/ui-core.js(3), AsyncScene/Web/ui/ui-dm.js(3); topSourceKeys=reason(6), icons(4), if(4), pushSystem(4), repStr(4)","inventoryTriggers=static_string(38), dynamic_template(10); taxonomyInstances=39; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",REP|Репутация|репутация,ST3_0308|ST3_0764|ST3_1040|ST3_1180|ST3_1240|ST3_1242|ST3_1247|ST3_1261|ST3_1265|ST3_1270|ST3_1271|ST3_1483|ST3_1489|ST3_1593|ST3_1597|ST3_1601|ST3_1610|ST3_1612|ST3_1614|ST3_1719|ST3_1727|ST3_1728|ST3_2049|ST3_2548|ST3_2754|ST3_2781|ST3_2793|ST3_2829|ST3_2895|ST3_3035|ST3_3095|ST3_3097|ST3_3102|ST3_3116|ST3_3120|ST3_3125|ST3_3126|ST3_3220|ST3_3226|ST3_3330|ST3_3334|ST3_3338|ST3_3347|ST3_3349|ST3_3351|ST3_3452|ST3_3460|ST3_3461,ResourceName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=48; taxonomyInstanceCount=39; inventoryCategories=ResourceName(28), Other(8), EconomyReason(6), BlockTitle(2), Button(2), SystemLine(2); canonNotes=Reputation resource appears as star, REP abbreviation and Russian word. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_INSUFFICIENT_FUNDS,CONCEPT_INSUFFICIENT_FUNDS,Error,Не хватает 💰.,"screens=battle_ui|disabled_states|dm_ui|economy_toasts|events_voting_crowd|p2p|pending_states|respect_econ08; topSourceFiles=AsyncScene/Web/events.js(7), docs/events.js(7), AsyncScene/Web/ui/ui-events.js(6), docs/data/style-lex.js(6), docs/ui/ui-events.js(6); topSourceKeys=if(12), msg(8), прокает(8), p2p_insufficient_points(3), add(2)",inventoryTriggers=static_string(49); taxonomyInstances=41; governanceUse=apply canonical term whenever this concept appears in matching UI contexts,"Не хватает пойнтов.|Пойнтов не хватает.|У вас недостаточно пойнтов.|Не прокает: нет P.|Не прокает: мало 💰 на баттл.|Нужно 1💰, сейчас не хватает.|не хватает",ST3_0737|ST3_0800|ST3_0801|ST3_0802|ST3_0804|ST3_0805|ST3_0806|ST3_0807|ST3_1309|ST3_1412|ST3_1416|ST3_1417|ST3_1422|ST3_1436|ST3_1605|ST3_1658|ST3_1703|ST3_1706|ST3_1707|ST3_1708|ST3_1709|ST3_1710|ST3_2478|ST3_2512|ST3_2636|ST3_2709|ST3_2769|ST3_2778|ST3_2779|ST3_2865|ST3_2866|ST3_2867|ST3_2869|ST3_2870|ST3_2871|ST3_2872|ST3_3150|ST3_3154|ST3_3155|ST3_3160|ST3_3173|ST3_3342|ST3_3391|ST3_3436|ST3_3439|ST3_3440|ST3_3441|ST3_3442|ST3_3443,Error,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=49; taxonomyInstanceCount=41; inventoryCategories=Error(31), Other(8), ResourceName(8), Button(2); canonNotes=Insufficient-funds errors use one canonical wording; all point/P variants are forbidden. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_CROWD_DECISION,CONCEPT_CROWD_DECISION,Status,Толпа решает,"screens=battle_ui|chat_ui|escape|events_voting_crowd|ignore|price_caps|reports_cop_flow|result_cards; topSourceFiles=AsyncScene/Web/conflict/conflict-core.js(12), docs/conflict/conflict-core.js(12), AsyncScene/Web/ui/ui-battles.js(11), docs/ui/ui-battles.js(11), AsyncScene/Web/events.js(10); topSourceKeys=Голоса(12), решила(12), решает(8), if(7), literal_at_line(6)","inventoryTriggers=static_string(69), dynamic_template(39); taxonomyInstances=94; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",Решает толпа|Голосование идёт|голосование|голоса|толпа решила,ST3_0040|ST3_0083|ST3_0095|ST3_0108|ST3_0110|ST3_0111|ST3_0115|ST3_0118|ST3_0121|ST3_0122|ST3_0127|ST3_0128|ST3_0140|ST3_0141|ST3_0164|ST3_0173|ST3_0174|ST3_0175|ST3_0184|ST3_0753|ST3_0754|ST3_0755|ST3_0756|ST3_0786|ST3_0787|ST3_0794|ST3_0795|ST3_0796|ST3_0797|ST3_0812|ST3_0815|ST3_0821|ST3_0822|ST3_1449|ST3_1450|ST3_1451|ST3_1452|ST3_1454|ST3_1457|ST3_1458|ST3_1459|ST3_1460|ST3_1463|ST3_1464|ST3_1535|ST3_1536|ST3_1711|ST3_1712|ST3_1714|ST3_1718|ST3_1726|ST3_1743|ST3_1781|ST3_1824|ST3_1836|ST3_1849|ST3_1851|ST3_1852|ST3_1856|ST3_1859|ST3_1862|ST3_1863|ST3_1868|ST3_1869|ST3_1881|ST3_1882|ST3_1905|ST3_1914|ST3_1915|ST3_1916|ST3_1925|ST3_2494|ST3_2495|ST3_2496|ST3_2497|ST3_2786|ST3_2792|ST3_2794|ST3_2800|ST3_2851|ST3_2852|ST3_2859|ST3_2860|ST3_2861|ST3_2862|ST3_2877|ST3_2880|ST3_2886|ST3_2887|ST3_3186|ST3_3187|ST3_3188|ST3_3189|ST3_3191|ST3_3194|ST3_3195|ST3_3196|ST3_3197|ST3_3200|ST3_3201|ST3_3272|ST3_3273|ST3_3444|ST3_3445|ST3_3447|ST3_3451|ST3_3459|ST3_3476,Status,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=108; taxonomyInstanceCount=94; inventoryCategories=ResultCard(46), Other(35), Button(8), BlockTitle(7), EconomyReason(6), Hint(6); canonNotes=Crowd voting/decision copy mixes crowd-decision and voting wording. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_ESCAPE_ACTION,CONCEPT_ESCAPE_ACTION,Button,Свалить,"screens=battle_ui|chat_ui|disabled_states|dm_ui|economy_toasts|escape|events_voting_crowd|general_interface|price_caps|reports_cop_flow; topSourceFiles=AsyncScene/Web/ui/ui-battles.js(6), docs/ui/ui-battles.js(6), AsyncScene/Web/ui-old.js(4), AsyncScene/Web/conflict-old.js(3), AsyncScene/Web/conflict/conflict-core.js(3); topSourceKeys=literal_at_line(8), if(5), advice(4), escape_button_label(4), uiCall(3)","inventoryTriggers=static_string(36), dynamic_template(15); taxonomyInstances=45; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",Уйти|смыться|смыться от|свалить от|СВАЛИТЬ,ST3_0021|ST3_0023|ST3_0024|ST3_0126|ST3_0128|ST3_0130|ST3_0186|ST3_0217|ST3_0738|ST3_0783|ST3_0793|ST3_0795|ST3_0895|ST3_1104|ST3_1167|ST3_1171|ST3_1328|ST3_1337|ST3_1370|ST3_1388|ST3_1420|ST3_1421|ST3_1443|ST3_1446|ST3_1481|ST3_1482|ST3_1691|ST3_1701|ST3_1743|ST3_1867|ST3_1869|ST3_1871|ST3_1927|ST3_1958|ST3_2479|ST3_2808|ST3_2848|ST3_2858|ST3_2860|ST3_2959|ST3_3022|ST3_3026|ST3_3158|ST3_3159|ST3_3180|ST3_3183|ST3_3218|ST3_3219|ST3_3424|ST3_3434|ST3_3476,ActionName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=51; taxonomyInstanceCount=45; inventoryCategories=Button(33), Other(10), ResourceName(5), Error(2), Toast(1); canonNotes=Escape action/result vocabulary should standardize on the player-facing verb. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_IGNORE_ACTION,CONCEPT_IGNORE_ACTION,Button,Отвали,"screens=battle_ui|events_voting_crowd|general_interface|ignore; topSourceFiles=AsyncScene/Web/conflict/conflict-core.js(8), docs/conflict/conflict-core.js(8), AsyncScene/Web/ui/ui-battles.js(4), docs/ui/ui-battles.js(4), AsyncScene/Web/events.js(3); topSourceKeys=literal_at_line(10), решила(4), off(3), Dismiss(2), a(2)","inventoryTriggers=static_string(31), dynamic_template(4); taxonomyInstances=35; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",Отвалить|отвали|отвалил|Отвалил,ST3_0097|ST3_0121|ST3_0123|ST3_0125|ST3_0127|ST3_0129|ST3_0135|ST3_0136|ST3_0163|ST3_0788|ST3_0792|ST3_0794|ST3_1330|ST3_1338|ST3_1339|ST3_1419|ST3_1442|ST3_1445|ST3_1490|ST3_1838|ST3_1862|ST3_1864|ST3_1866|ST3_1868|ST3_1870|ST3_1876|ST3_1877|ST3_1904|ST3_2853|ST3_2857|ST3_2859|ST3_3157|ST3_3179|ST3_3182|ST3_3227,ActionName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=35; taxonomyInstanceCount=35; inventoryCategories=Other(25), ResultCard(4), BlockTitle(2), Button(2), Hint(2); canonNotes=Ignore/brush-off action mixes imperative and infinitive/result forms. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_REPORT_ACTION,CONCEPT_REPORT_ACTION,Button,Сдать,"screens=dm_ui|economy_toasts|general_interface|pending_states|reports_cop_flow|respect_econ08|success_fail_states|training_econ04; topSourceFiles=AsyncScene/Web/state.js(5), docs/state.js(5), AsyncScene/Web/data.js(4), docs/data.js(4), AsyncScene/Web/npcs.js(3); topSourceKeys=if(11), bonusMsg(4), html_text_or_attribute(4), literal_at_line(4), normalizeCopLine(2)","inventoryTriggers=static_string(26), dynamic_template(11); taxonomyInstances=33; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",донос|репорт|сообщите|отмечен(а)|заявка,ST3_0298|ST3_0302|ST3_0305|ST3_0749|ST3_1050|ST3_1051|ST3_1173|ST3_1175|ST3_1179|ST3_1240|ST3_1244|ST3_1245|ST3_1276|ST3_1277|ST3_1326|ST3_1393|ST3_1682|ST3_1686|ST3_2039|ST3_2043|ST3_2046|ST3_2490|ST3_2550|ST3_2756|ST3_2814|ST3_2905|ST3_2906|ST3_3028|ST3_3030|ST3_3034|ST3_3095|ST3_3099|ST3_3100|ST3_3131|ST3_3132|ST3_3415|ST3_3419,ActionName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=37; taxonomyInstanceCount=33; inventoryCategories=Button(12), Other(12), ResourceName(8), Status(3), DMLine(2); canonNotes=Cop report flow mixes сдача, донос, репорт and report-message vocabulary. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_ARGUMENT_TRAINING,CONCEPT_ARGUMENT_TRAINING,Button,Обучить аргументу,"screens=chat_ui|dm_ui|economy_toasts|price_caps|training_econ04; topSourceFiles=AsyncScene/Web/data.js(2), AsyncScene/Web/ui/ui-menu.js(2), docs/data.js(2), docs/ui/ui-menu.js(2), AsyncScene/Web/ui/ui-dm.js(1); topSourceKeys=btn(2), btnTeach(2), price(2), teach_sent_chat(2), teach_sent_dm(2)","inventoryTriggers=dynamic_template(6), static_string(4); taxonomyInstances=6; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",Тренировка аргумента|Тренировка аргумента (${price} 💰)|обучил(а)|Цена: {cost} 💰,ST3_0187|ST3_0188|ST3_1646|ST3_1753|ST3_1760|ST3_1928|ST3_1929|ST3_3379|ST3_3486|ST3_3493,ActionName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=10; taxonomyInstanceCount=6; inventoryCategories=Button(4), ResourceName(4), Other(2); canonNotes=Argument upgrade action appears as training and teaching. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_COOLDOWN,CONCEPT_COOLDOWN,Cooldown,кулдаун,"screens=cooldowns|economy_toasts|price_caps|training_econ04; topSourceFiles=AsyncScene/Web/ui/ui-menu.js(3), docs/ui/ui-menu.js(3); topSourceKeys=formatCooldownText(2), if(2), level(2)",inventoryTriggers=dynamic_template(6); taxonomyInstances=4; governanceUse=apply canonical term whenever this concept appears in matching UI contexts,Кулдаун|cooldown|ещё ${status.remainingDays || 0} дн.|кулдаун до дня,ST3_1755|ST3_1761|ST3_1763|ST3_3488|ST3_3494|ST3_3496,CooldownLabel,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=6; taxonomyInstanceCount=4; inventoryCategories=Cooldown(4), ResourceName(2); canonNotes=Cooldown copy should use one term and reserve limit/cap for price caps. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_PRICE_CAP,CONCEPT_PRICE_CAP,EconomyReason,лимит,"screens=economy_toasts|events_voting_crowd|price_caps|respect_econ08; topSourceFiles=AsyncScene/Web/data.js(2), docs/data.js(2), AsyncScene/Web/events.js(1), AsyncScene/Web/state.js(1), docs/events.js(1); topSourceKeys=capPart(2), points(2), rep(2), Кап(2)","inventoryTriggers=static_string(6), dynamic_template(2); taxonomyInstances=2; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",Cap|Кап|max Points|max REP|Лимит,ST3_0308|ST3_0309|ST3_0811|ST3_1261|ST3_2049|ST3_2050|ST3_2876|ST3_3116,ReasonName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=8; taxonomyInstanceCount=2; inventoryCategories=ResourceName(6), EconomyReason(2); canonNotes=Price/currency caps mix English Cap, Russian cap and limit wording. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_BATTLE_ACTION,CONCEPT_BATTLE_ACTION,Button,баттл,"screens=battle_ui|chat_ui|cooldowns|disabled_states|dm_ui|economy_toasts|events_voting_crowd|general_interface|reports_cop_flow|result_cards; topSourceFiles=AsyncScene/Web/game_legacy.js(10), AsyncScene/Web/ui-old.js(8), AsyncScene/Web/ui/ui-battles.js(7), docs/ui/ui-battles.js(6), AsyncScene/Web/data.js(5); topSourceKeys=dmPushLine(7), if(7), literal_at_line(6), toast(4), btnBattle(3)","inventoryTriggers=static_string(40), dynamic_template(17); taxonomyInstances=53; governanceUse=apply canonical term whenever this concept appears in matching UI contexts",конфликт|забатлить|баттлить,ST3_0101|ST3_0105|ST3_0715|ST3_0719|ST3_0737|ST3_0756|ST3_0760|ST3_0862|ST3_0884|ST3_0928|ST3_0929|ST3_0930|ST3_0934|ST3_0943|ST3_0945|ST3_0950|ST3_1028|ST3_1052|ST3_1087|ST3_1293|ST3_1296|ST3_1331|ST3_1332|ST3_1369|ST3_1371|ST3_1388|ST3_1390|ST3_1414|ST3_1415|ST3_1425|ST3_1428|ST3_1430|ST3_1435|ST3_1437|ST3_1514|ST3_1537|ST3_1630|ST3_1633|ST3_1640|ST3_1842|ST3_1846|ST3_2456|ST3_2460|ST3_2478|ST3_2497|ST3_2501|ST3_2907|ST3_2942|ST3_3152|ST3_3153|ST3_3163|ST3_3166|ST3_3168|ST3_3174|ST3_3251|ST3_3274|ST3_3367,ActionName,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=57; taxonomyInstanceCount=53; inventoryCategories=Other(26), BlockTitle(7), Button(5), ChatLine(5), ResourceName(4), ResultCard(3), Error(2), Status(2), SystemLine(2), Toast(1); canonNotes=Conflict action copy mixes battl slang and conflict wording. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
CONCEPT_UNAVAILABLE_STATE,CONCEPT_UNAVAILABLE_STATE,Status,Недоступно.,"screens=battle_ui|disabled_states|dm_ui|economy_toasts|events_voting_crowd|general_interface|p2p|pending_states; topSourceFiles=AsyncScene/Web/ui/ui-menu.js(6), docs/ui/ui-menu.js(6), AsyncScene/Web/ui/ui-dm.js(5), docs/ui/ui-dm.js(5), AsyncScene/Web/ui-old.js(3); topSourceKeys=if(4), notify(4), p2p_disabled(3), p2p_player_to_player_disabled(3), showP2PSystem(3)",inventoryTriggers=static_string(39); taxonomyInstances=39; governanceUse=apply canonical term whenever this concept appears in matching UI contexts,пока недоступна|отключена|закрыто|неактивно,ST3_1004|ST3_1311|ST3_1312|ST3_1315|ST3_1467|ST3_1492|ST3_1541|ST3_1543|ST3_1620|ST3_1631|ST3_1660|ST3_1661|ST3_1664|ST3_1702|ST3_1715|ST3_1746|ST3_1747|ST3_1751|ST3_1764|ST3_1765|ST3_1767|ST3_2817|ST3_3204|ST3_3229|ST3_3278|ST3_3280|ST3_3357|ST3_3368|ST3_3393|ST3_3394|ST3_3397|ST3_3435|ST3_3448|ST3_3479|ST3_3480|ST3_3484|ST3_3497|ST3_3498|ST3_3500,Status,STYLE_GUIDE_MILLENNIAL_V1:vocabulary|tone|cta|errors|validationContract,"STEP3_TERMINOLOGY_TABLE_V1; sourceTermCount=39; taxonomyInstanceCount=39; inventoryCategories=Other(21), DMLine(10), Button(4), BlockTitle(2), Status(1), SystemLine(1); canonNotes=Unavailable/disabled state uses several equivalent labels. Duplicate group resolves to exactly one canonical term. STEP3_TERMINOLOGY_CANON_V1"
